lexeme                         lineno                         tokenName                      valueIfNumber                  parentNodeSymbol               isLeafNode                     NodeSymbol                    
---                            6                              TK_FUNID                       ---                            function                       Yes                           ---                           
---                            6                              ---                            ---                            otherFunctions                 No                             function                      
---                            6                              TK_INPUT                       ---                            input_par                      Yes                           ---                           
---                            6                              ---                            ---                            function                       No                             input_par                     
---                            6                              TK_PARAMETER                   ---                            input_par                      Yes                           ---                           
---                            6                              TK_LIST                        ---                            input_par                      Yes                           ---                           
---                            6                              TK_SQL                         ---                            input_par                      Yes                           ---                           
---                            6                              TK_INT                         ---                            primitiveDatatype              Yes                           ---                           
---                            6                              ---                            ---                            dataType                       No                             primitiveDatatype             
---                            6                              ---                            ---                            parameter_list                 No                             dataType                      
---                            6                              ---                            ---                            input_par                      No                             parameter_list                
---                            6                              TK_ID                          ---                            parameter_list                 Yes                           ---                           
---                            6                              TK_COMMA                       ---                            remaining_list                 Yes                           ---                           
---                            6                              ---                            ---                            parameter_list                 No                             remaining_list                
---                            6                              TK_INT                         ---                            primitiveDatatype              Yes                           ---                           
---                            6                              ---                            ---                            dataType                       No                             primitiveDatatype             
---                            6                              ---                            ---                            parameter_list                 No                             dataType                      
---                            6                              ---                            ---                            remaining_list                 No                             parameter_list                
---                            6                              TK_ID                          ---                            parameter_list                 Yes                           ---                           
---                            6                              TK_COMMA                       ---                            remaining_list                 Yes                           ---                           
---                            6                              ---                            ---                            parameter_list                 No                             remaining_list                
---                            6                              TK_INT                         ---                            primitiveDatatype              Yes                           ---                           
---                            6                              ---                            ---                            dataType                       No                             primitiveDatatype             
---                            6                              ---                            ---                            parameter_list                 No                             dataType                      
---                            6                              ---                            ---                            remaining_list                 No                             parameter_list                
---                            6                              TK_ID                          ---                            parameter_list                 Yes                           ---                           
---                            6                              ---                            ---                            remaining_list                 Yes                           EPSILON                       
---                            6                              ---                            ---                            parameter_list                 No                             remaining_list                
---                            6                              TK_SQR                         ---                            input_par                      Yes                           ---                           
---                            7                              TK_OUTPUT                      ---                            output_par                     Yes                           ---                           
---                            6                              ---                            ---                            function                       No                             output_par                    
---                            7                              TK_PARAMETER                   ---                            output_par                     Yes                           ---                           
---                            7                              TK_LIST                        ---                            output_par                     Yes                           ---                           
---                            7                              TK_SQL                         ---                            output_par                     Yes                           ---                           
---                            7                              TK_REAL                        ---                            primitiveDatatype              Yes                           ---                           
---                            7                              ---                            ---                            dataType                       No                             primitiveDatatype             
---                            7                              ---                            ---                            parameter_list                 No                             dataType                      
---                            7                              ---                            ---                            output_par                     No                             parameter_list                
---                            7                              TK_ID                          ---                            parameter_list                 Yes                           ---                           
